#Table: J/A+A/484/609/catalog.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------------------
    |                     |        |        |      |    e|      |    e|      |   e_|       |    e|       |    e|   |       |
 Seq|     RAdeg      DEdeg|    Xpos|    Ypos|  Bmag|_Bmag|  Vmag|_Vmag| Icmag|Icmag|   pmRA|_pmRA|   pmDE|_pmDE|Pmb|    HRV|     e_
----|---------------------|--------|--------|------|-----|------|-----|------|-----|-------|-----|-------|-----|---|-------|-------
2019|132.595342  12.015595|7990.691|6411.127|22.507|0.999|20.747|0.103|18.369|0.081|  -8.57|21.54|  13.92| 8.45| 35|999.999|999.999
2020|133.084190  12.016431| 760.695|6417.063|21.618|0.070|15.913|0.012|15.113|0.005|  10.12| 3.03|   0.12|41.41|  0|999.999|999.999
2021|132.588683  12.015841|8089.152|6415.072|20.702|0.035|19.787|0.032|19.005|0.012|   6.01| 9.34|   1.78|11.60| 20|999.999|999.999
2022|133.084205  12.016514| 760.481|6418.327|16.658|0.013|15.914|0.013|15.113|0.005|   9.94| 2.74|  -7.20| 5.12|  0|999.999|999.999
2023|133.058546  12.017562|1139.903|6434.021|19.717|0.034|19.177|0.067|18.503|0.015|   3.81| 6.19|  -1.25| 6.49| 39|999.999|999.999
2024|133.006373  12.017680|1911.481|6435.694|15.295|0.006|14.426|0.007|13.488|0.016|   3.45| 0.54|   0.18| 2.74| 97| 15.091|  0.075
2025|133.012438  12.017917|1821.787|6439.283|21.456|0.160|20.020|0.115|18.878|0.060|  11.66|13.69|  -8.21|17.25|  3|999.999|999.999
2026|132.783819  12.018478|5203.234|6449.791|14.181|0.009|13.592|0.012|12.905|0.002|   0.89| 1.84|  -1.73| 0.83|100| 37.150|  0.112
2027|132.807537  12.019313|4852.405|6461.997|21.689|0.035|21.421|0.043|18.846|0.102|  13.69|19.22| -16.54|33.26| 22|999.999|999.999
2028|132.868246  12.019464|3954.435|6463.445|22.237|0.413|21.203|0.043|19.805|0.999|  30.76|10.00|  12.32|21.24|  2|999.999|999.999
2029|132.717369  12.019504|6186.024|6466.696|18.120|0.007|17.323|0.012|16.405|0.006|   9.58| 2.56|   2.62| 2.68|  0|999.999|999.999
2030|132.714467  12.019757|6228.945|6470.589|21.685|0.025|20.371|0.120|19.065|0.107|  27.07|10.95|  16.60|12.91|  0|999.999|999.999
2031|132.612950  12.019533|7730.202|6470.084|21.653|0.156|19.844|0.061|17.091|0.051|  38.79| 7.44| -50.46| 1.96|  0|999.999|999.999
2032|133.035761  12.021265|1476.829|6489.932|20.408|0.062|19.833|0.019|19.189|0.059|  22.13|12.38|  -7.08|10.71|  0|999.999|999.999
2033|132.878337  12.021182|3805.160|6489.301|17.054|0.005|16.339|0.004|15.517|0.005|  14.28| 3.09|  -2.32| 4.88|  0|999.999|999.999
2034|132.638380  12.021392|7354.103|6497.380|20.959|0.106|18.956|0.043|16.636|0.005|   5.41| 4.58|  14.04| 4.94|  0|999.999|999.999
2035|132.874517  12.021846|3861.638|6499.385|21.850|0.230|20.652|0.098|18.997|0.031|  11.78| 3.09|  -4.05| 5.83| 18|999.999|999.999
2036|132.760337  12.021999|5550.456|6503.466|22.381|0.079|21.222|0.274|19.740|0.157|  41.89|25.94| -40.34|11.48|  0|999.999|999.999
2037|132.873636  12.022408|3874.658|6507.887|22.262|0.486|20.889|0.088|18.507|0.036| -14.46|18.45|  14.46|25.17| 33|999.999|999.999
2038|132.672192  12.022312|6854.075|6510.311|18.224|0.024|17.510|0.018|16.695|0.010|  15.77| 5.18| -13.51| 1.13|  0|999.999|999.999
2039|132.580325  12.022097|8212.500|6509.947|21.466|0.218|19.255|0.030|16.979|0.010|  -1.07| 7.91|   8.39| 8.45| 25|999.999|999.999
2040|132.915032  12.022657|3262.372|6511.275|22.070|0.123|20.715|0.152|18.785|0.032|  -4.17|10.59|  -1.67|14.46| 52|999.999|999.999
2041|132.889124  12.022734|3645.577|6512.661|16.348|0.003|15.706|0.002|14.977|0.012|   5.71| 0.48|   9.76| 2.80|  0|999.999|999.999
2042|132.807110  12.022997|4858.643|6517.699|21.711|0.251|21.393|0.403|20.768|0.999| -15.47|28.62| -35.46|27.91|  5|999.999|999.999
2043|132.794851  12.023031|5039.955|6518.417|21.624|0.999|21.429|0.158|20.097|0.999|  -5.00|17.02|  34.57| 8.98| 16|999.999|999.999
2044|132.654915  12.022994|7109.542|6521.113|17.000|0.006|16.019|0.015|14.997|0.006|   1.13| 3.87|  -4.17| 4.52| 78|999.999|999.999
2045|132.908612  12.023448|3357.323|6523.283|13.541|0.002|12.948|0.006|12.268|0.001|  -0.95| 0.18|   0.71| 1.67|100|999.999|999.999
2046|132.904347  12.023578|3420.403|6525.281|20.309|0.030|18.647|0.017|16.717|0.011|   2.50| 1.49|  -1.25| 5.47| 60|999.999|999.999
2047|132.754705  12.023549|5633.716|6527.014|12.160|0.007|11.435|0.008|10.621|0.017|   6.49| 1.25| -28.98| 1.31|  0|999.999|999.999
2048|132.595049  12.023374|7994.761|6528.740|22.149|0.454|20.775|0.230|19.671|0.292|  46.47|28.38| -14.99|39.21|  0|999.999|999.999
2049|132.670413  12.024198|6880.324|6538.870|15.852|0.011|15.202|0.005|14.467|0.006|  17.43| 2.14| -10.71| 0.36|  0|999.999|999.999
2050|132.831672  12.024610|4495.314|6541.705|21.861|0.999|21.174|0.356|19.286|0.999|   8.39|15.17| -10.95|31.71| 30|999.999|999.999
2051|132.592228  12.024259|8036.439|6542.213|21.677|0.102|20.004|0.020|17.759|0.042|  16.48|11.25|   7.74|10.83|  1|999.999|999.999
2052|132.875376  12.025315|3848.882|6551.818|18.718|0.025|17.815|0.022|16.812|0.022|   7.08| 4.70|   2.02| 5.41| 11|999.999|999.999
2053|132.773595  12.025180|5354.287|6551.297|21.553|0.204|19.664|0.046|17.439|0.035|  -0.71|12.61| -17.02|14.76|  1|999.999|999.999
2054|132.709415  12.025162|6303.507|6552.433|21.800|0.164|19.616|0.038|17.322|0.038| -16.72|12.91|  19.52| 4.76|  0|999.999|999.999
2055|132.792803  12.025435|5070.187|6554.808|17.002|0.007|16.068|0.004|15.055|0.004|  -0.24| 2.26|  -3.09| 3.93| 92|999.999|999.999
2056|132.796724  12.025764|5012.189|6559.714|18.287|0.009|17.404|0.004|16.405|0.005|  10.23| 1.90|  -5.00| 2.92|  0|999.999|999.999
2057|132.815893  12.026718|4728.655|6573.819|20.657|0.083|20.166|0.094|19.449|0.006|  26.36| 8.63|   1.96| 9.34|  0|999.999|999.999
2058|132.949709  12.026852|2749.433|6574.493|19.362|0.029|17.851|0.003|16.123|0.010|   1.13| 8.75|  -0.77| 4.22| 79|999.999|999.999
2059|133.012484  12.026952|1821.016|6575.882|21.462|0.121|21.128|0.189|20.435|0.999|  25.94|20.65| -10.35|22.97|  3|999.999|999.999
2060|133.054642  12.027155|1197.571|6579.047|18.040|0.012|16.711|0.005|15.253|0.007|  -3.75| 3.63|  -0.48| 1.96| 84|999.999|999.999
2061|133.087983  12.027391| 704.544|6582.789|23.271|0.869|20.712|0.136|18.656|0.057|  40.34|23.32|   6.01|10.35|  0|999.999|999.999
2062|132.713473  12.027185|6243.438|6582.917|21.576|0.264|19.717|0.052|17.353|0.019|   6.31| 8.21| -57.77| 2.32|  0|999.999|999.999
2063|133.068140  12.027927| 997.959|6590.778|21.994|0.999|21.578|0.287|19.238|0.999|  19.34|16.18|  -5.65|18.15| 23|999.999|999.999
2064|132.594385  12.027522|8004.443|6591.464|21.520|0.174|20.206|0.107|18.853|0.130|  19.28|11.96|   0.71| 9.58|  1|999.999|999.999
2065|133.078320  12.028272| 847.424|6596.058|18.915|1.005|16.605|0.015|15.493|0.011|   8.09| 3.39|   0.36| 5.35|  2|999.999|999.999
2066|133.104145  12.028116| 465.565|6593.881|22.171|0.001|21.155|0.313|19.280|0.999|  32.19| 8.75|  -4.70|10.77|  2|999.999|999.999
2067|132.776577  12.028046|5310.114|6594.563|21.505|0.286|19.750|0.071|17.578|0.005|   3.33|10.89|  -8.63|10.12| 12|999.999|999.999
2068|133.078322  12.028274| 847.398|6596.089|17.791|0.156|16.605|0.015|15.493|0.011|   8.09| 3.39|   0.36| 5.35|  2|999.999|999.999
2069|132.807115  12.028266|4858.440|6597.351|21.768|0.056|20.948|0.207|19.809|0.233|  29.33|22.67| -34.87|18.68|  0|999.999|999.999
2070|132.734155  12.028353|5937.530|6600.080|21.744|0.197|21.250|0.150|20.442|0.999|  22.37| 7.26|   7.44|17.49| 11|999.999|999.999
2071|133.025270  12.029345|1631.906|6612.074|16.810|0.005|15.878|0.004|14.879|0.004|  -3.15| 1.55|  -1.19| 2.08| 92|999.999|999.999
2072|133.015796  12.029409|1772.013|6613.018|16.669|0.014|15.976|0.007|15.191|0.008|   9.34| 0.77|  -2.74| 1.31|  0|999.999|999.999
2073|132.560791  12.029148|8501.050|6617.226|99.999|0.999|18.254|0.025|16.442|0.011|   3.09| 7.20|  -7.79| 3.99|  8|999.999|999.999
2074|133.050378  12.029707|1260.599|6617.606|16.345|0.006|15.466|0.004|14.492|0.019|  -3.27| 2.50|  -0.89| 1.01| 92|999.999|999.999
2075|132.540753  12.029639|8797.263|6625.397|99.999|0.999|21.495|0.100|99.999|0.999|  38.79|21.48| -20.17|14.46|  0|999.999|999.999
2076|132.665026  12.030116|6959.813|6628.483|21.458|0.167|20.483|0.103|18.545|0.039|  14.76| 1.90|  -5.30| 9.52|  7|999.999|999.999
2077|132.772124  12.030366|5375.933|6629.730|19.122|0.026|17.617|0.015|15.902|0.006|   4.28| 7.38|  -3.87| 4.58| 33|999.999|999.999
2078|132.918463  12.030617|3211.498|6631.595|13.126|0.012|12.605|0.005|11.970|0.003|  -0.95| 2.98|   6.90| 2.92| 87| 68.745|  0.102
2079|132.585870  12.030520|8130.225|6637.078|19.690|0.034|18.232|0.017|16.625|0.002|   1.01| 3.75|   8.81| 6.49|  9|999.999|999.999
2080|132.562693  12.030549|8472.887|6638.335|99.999|0.999|17.004|0.010|16.403|0.003|   7.32| 8.69|   5.24|10.95|  1|999.999|999.999
2081|132.569548  12.030988|8371.525|6644.722|19.130|0.999|18.475|0.012|17.778|0.007|   0.71| 9.22|   5.30| 2.74| 50|999.999|999.999
2082|132.552357  12.031965|8625.631|6660.129|99.999|0.999|18.274|0.019|99.999|0.999|   8.51| 4.64|  -9.76| 8.09|  0|999.999|999.999
2083|132.775673  12.032771|5323.372|6666.021|17.207|0.023|17.025|0.010|17.008|0.008| -81.22| 3.27| -29.75| 6.72|  0|999.999|999.999
2084|132.762341  12.032730|5520.564|6665.658|20.895|0.201|21.551|0.042|99.999|0.999|   5.89| 9.52| -20.05| 8.69| 18|999.999|999.999
2085|133.005007  12.032962|1931.518|6666.738|22.534|0.999|21.269|0.109|20.207|0.999|   3.03|26.36|   1.61|15.41| 49|999.999|999.999
2086|132.795651  12.032817|5027.901|6666.346|21.653|0.152|19.892|0.038|17.792|0.019|   9.76| 3.57|   9.16|18.27|  5|999.999|999.999
2087|132.910046  12.034445|3335.928|6689.525|21.336|0.187|19.659|0.094|18.329|0.061|  23.38|19.22| -10.71| 9.10|  0|999.999|999.999
2088|132.608209  12.034610|7799.808|6698.141|22.586|0.273|20.366|0.106|17.464|0.054| -17.14|10.35|  -9.34|13.03| 13|999.999|999.999
2089|132.615332  12.034757|7694.482|6700.144|22.250|0.367|21.396|0.202|20.878|0.999| -12.26|24.39| -32.19|25.23| 10|999.999|999.999
2090|132.749194  12.035164|5714.940|6702.725|22.718|0.999|20.913|0.031|18.341|0.051|   9.58| 9.28| -13.51|23.86| 18|999.999|999.999
2091|133.065294  12.035400|1039.983|6703.748|20.137|0.070|18.825|0.009|17.370|0.014|  -0.30| 4.11|   0.89| 3.57| 70|999.999|999.999
2092|133.065613  12.036391|1035.266|6718.731|20.506|0.043|18.831|0.025|16.905|0.021|   3.33| 5.77|   4.76| 6.37| 38|999.999|999.999
2093|133.003205  12.036459|1958.134|6719.597|22.560|0.999|20.986|0.159|18.622|0.999|  -3.69|32.73|  15.17|16.96| 41|999.999|999.999
2094|132.791838  12.036476|5084.218|6721.723|21.315|0.173|19.965|0.047|18.777|0.068|  17.73|11.13|  -9.94|12.08|  0|999.999|999.999
2095|132.608822  12.036150|7790.684|6721.403|15.435|0.006|14.439|0.004|13.399|0.010|  -3.69| 2.62| -20.65| 8.21|  0|999.999|999.999
2096|132.889877  12.036651|3634.191|6723.040|21.370|0.042|19.592|0.043|17.467|0.018|   2.38|10.12|   3.99| 5.83| 37|999.999|999.999
2097|133.050509  12.037313|1258.597|6732.597|99.999|0.999|21.270|0.175|19.441|0.999| -21.18|25.23| -44.27|15.23|  0|999.999|999.999
2098|133.018443  12.037572|1732.776|6736.443|18.227|0.028|17.683|0.053|16.939|0.002|  16.12| 2.56| -13.09| 1.49|  0|999.999|999.999
2099|132.876310  12.037551|3834.839|6736.785|22.153|0.017|21.583|0.563|20.551|0.999|   2.20|10.47|   9.94|16.07| 48|999.999|999.999
2100|133.039815  12.037816|1416.739|6740.162|99.999|0.999|21.563|0.284|19.998|0.999|  41.29|16.90| -62.59|17.43|  0|999.999|999.999
2101|132.806734  12.037853|4863.868|6742.287|22.363|0.999|21.028|0.076|19.166|0.999|  21.48| 9.94| -33.02|11.84|  0|999.999|999.999
2102|132.943332  12.038167|2843.580|6745.573|22.022|0.999|20.735|0.095|18.730|0.034|  12.73|13.45|   4.11|20.11| 21|999.999|999.999
2103|133.056063  12.038426|1176.465|6749.453|21.409|0.161|20.823|0.116|20.125|0.018|  14.22|17.55|  -6.72|15.71| 14|999.999|999.999
2104|132.760702  12.038749|5544.647|6756.682|22.404|0.999|21.121|0.221|18.832|0.999| -17.08| 9.70|  16.66| 8.15| 36|999.999|999.999
2105|133.070549  12.038942| 962.255|6757.329|21.675|0.180|19.897|0.082|17.722|0.017|  -7.50| 8.92|  -4.52| 4.76| 32|999.999|999.999
2106|133.018865  12.038950|1726.526|6757.268|22.262|0.009|20.353|0.036|17.912|0.010|   7.62| 9.82|  22.61| 4.82|  1|999.999|999.999
2107|132.948624  12.039087|2765.308|6759.455|17.769|0.023|17.058|0.012|16.270|0.003|   8.57| 2.50|   3.75| 2.14|  1|999.999|999.999
2108|132.859791  12.039280|4079.119|6763.120|21.229|0.999|21.727|0.028|20.830|0.999|  12.67|37.60|  -1.78| 9.82| 34|999.999|999.999
2109|132.651360  12.038992|7161.625|6763.044|20.670|0.035|19.091|0.047|17.308|0.011|   9.10| 5.89|   7.91| 1.78|  2|999.999|999.999
2110|133.051710  12.039717|1240.821|6768.948|21.954|0.028|21.682|0.322|20.695|0.999| 102.16|29.99|  78.90|17.67|  0|999.999|999.999
2111|132.744757  12.039516|5780.443|6768.608|19.611|0.081|18.456|0.023|17.163|0.010|  10.35| 4.70|  -0.71| 6.01|  1|999.999|999.999
2112|132.728108  12.039621|6026.665|6770.555|20.772|0.128|20.138|0.096|19.356|0.011|  16.42| 4.58|  19.81|16.78|  0|999.999|999.999
2113|132.577014  12.039362|8260.852|6771.046|21.522|0.999|21.240|0.168|20.380|0.999|  10.23| 7.62|  20.35| 4.76| 20|999.999|999.999
2114|133.012107  12.040673|1826.452|6783.316|21.898|0.999|21.505|0.172|19.229|0.999| -12.67|32.07|   2.38| 6.72| 57|999.999|999.999
2115|132.650526  12.040399|7173.911|6784.338|14.832|0.004|13.839|0.005|12.849|0.000|   4.76| 2.74|  10.00| 4.46|  0|999.999|999.999
2116|132.782138  12.041549|5227.551|6798.586|19.129|0.037|17.831|0.006|16.332|0.006|  12.73| 5.59|   0.30| 4.64|  0|999.999|999.999
2117|133.099501  12.041940| 534.158|6802.839|20.723|0.027|20.217|0.128|19.513|0.052|   9.76|11.13|   0.36| 3.27| 15|999.999|999.999
2118|132.759951  12.041986|5555.674|6805.624|21.451|0.011|20.943|0.083|20.178|0.999|  20.77|13.98|  -6.49| 8.63|  6|999.999|999.999
2119|132.951902  12.042219|2716.782|6806.790|22.159|0.144|21.223|0.098|19.451|0.999|  -1.73| 6.01|  -0.83|11.90| 54|999.999|999.999
2120|132.585114  12.042084|8140.998|6811.909|22.965|0.884|21.529|0.049|20.669|0.999|  16.24|11.54|  16.48| 4.40| 24|999.999|999.999
2121|133.075612  12.042620| 887.368|6812.964|22.248|0.271|20.701|0.063|19.607|0.242|  17.85|19.04|   8.81|11.90|  5|999.999|999.999
2122|133.038668  12.042872|1433.647|6816.597|99.999|0.999|21.131|0.084|18.229|0.999|  13.69|15.17| -68.31|11.07|  0|999.999|999.999
2123|132.664238  12.042680|6971.085|6818.429|16.225|0.033|14.394|0.008|12.194|0.002| 148.04| 1.31| -32.55| 1.90|  0|999.999|999.999
2124|132.661612  12.042937|7009.904|6822.387|20.182|0.115|19.711|0.077|19.092|0.062|   5.24| 7.85|   8.21|12.91| 14|999.999|999.999
2125|133.090466  12.043354| 667.746|6824.157|21.101|0.167|20.342|0.097|19.550|0.043|  19.46| 9.10|  -6.72|14.28|  1|999.999|999.999
2126|132.783780  12.043406|5203.232|6826.637|99.999|0.999|21.173|0.161|19.847|0.999|  -4.17|16.12|   1.43|17.97| 55|999.999|999.999
2127|132.657325  12.043641|7073.282|6833.161|15.879|0.016|15.322|0.009|14.687|0.004|   3.27| 1.96|   6.78| 2.68|  3|999.999|999.999
2128|132.579389  12.043687|8225.581|6836.346|14.932|0.015|14.200|0.008|13.461|0.004|   6.01| 5.47|   9.64| 5.00|  0|999.999|999.999
2129|132.647863  12.043926|7213.174|6837.737|18.224|0.025|17.826|0.027|17.309|0.000|   7.68| 2.68|   3.21| 5.65|  5|999.999|999.999
2130|132.668221  12.044022|6912.149|6838.607|14.380|0.018|13.765|0.005|13.110|0.002|  -3.03| 4.28|   4.64| 6.07| 73|999.999|999.999
2131|133.102617  12.044810| 488.080|6846.263|19.069|0.017|17.644|0.011|16.061|0.004|   6.84| 4.46|  -3.39| 7.38|  8|999.999|999.999
2132|132.892854  12.044894|3590.033|6847.629|21.738|0.222|20.959|0.196|20.220|0.068|  -9.46| 7.79|  23.62|17.85| 14|999.999|999.999
2133|133.016306  12.045323|1764.309|6853.611|22.620|0.184|21.218|0.134|18.562|0.999|  44.03|21.66| -20.47|23.44|  0|999.999|999.999
2134|132.667636  12.046194|6920.736|6871.451|21.907|0.351|20.898|0.315|18.563|0.125|  -1.13|20.94|   3.81| 5.47| 51|999.999|999.999
2135|132.557366  12.045989|8551.072|6871.932|99.999|0.999|19.473|0.019|17.362|0.034|  -0.42| 9.16|  -3.33|11.42| 43|999.999|999.999
2136|133.030491  12.047452|1554.531|6885.824|16.652|0.009|15.999|0.005|15.272|0.999|-182.07| 1.19| -11.66| 1.31|  0|999.999|999.999
2137|132.909027  12.047672|3350.783|6889.497|21.638|0.999|20.797|0.131|19.589|0.037|  30.94|25.70|  12.38|12.38|  0|999.999|999.999
2138|132.901591  12.047800|3460.761|6891.493|20.674|0.066|19.028|0.049|17.003|0.017|   2.50| 3.03|   9.40| 6.60| 11|999.999|999.999
2139|133.105363  12.048087| 447.459|6895.823|22.000|0.999|21.357|0.122|20.393|0.999|  -2.98|12.49|  10.23| 7.74| 52|999.999|999.999
2140|133.042486  12.048176|1377.145|6896.806|13.210|0.001|12.026|0.005|10.660|0.016| 175.64| 3.09|-383.30| 1.07|  0|999.999|999.999
2141|132.778968  12.048220|5274.279|6899.491|21.641|0.999|21.561|0.174|18.706|0.999|  -5.35|49.56| -19.46| 2.86| 38|999.999|999.999
2142|133.032250  12.048435|1528.501|6900.683|16.569|0.005|15.968|0.005|15.299|0.518|   6.66| 2.02|  -5.53| 6.37|  0|999.999|999.999
2143|132.958880  12.048661|2613.494|6904.158|18.327|0.036|17.279|0.004|16.080|0.001| -24.57| 0.59|   9.70| 5.18|  0|999.999|999.999
2144|132.802472  12.048618|4926.660|6905.095|99.999|0.999|21.056|0.285|19.121|0.108|  48.61|34.93|  -0.30|14.82|  0|999.999|999.999
2145|133.052932  12.049806|1222.676|6921.482|15.283|0.012|14.617|0.019|13.883|0.010|  -0.42| 1.90|   2.08| 3.63| 98|999.999|999.999
2146|133.012577  12.049903|1819.399|6922.860|21.717|0.197|20.433|0.132|19.260|0.135|  -5.24|16.72| -20.35|25.17|  4|999.999|999.999
2147|133.048313  12.049951|1290.971|6923.655|18.857|0.009|18.311|0.023|17.860|0.013|   7.02| 2.74|   0.65| 5.06| 15|999.999|999.999
2148|133.062421  12.050106|1082.368|6926.061|21.999|0.026|20.681|0.046|19.502|0.095|   2.44|14.22| -16.84|18.74| 13|999.999|999.999
2149|132.933010  12.050144|2996.061|6926.707|21.463|0.081|22.210|0.185|99.999|0.999|  -7.74|15.11|   3.27| 7.74| 46|999.999|999.999
2150|132.899311  12.050257|3494.439|6928.649|21.690|0.999|21.278|0.216|18.377|0.999|  -1.90|13.27| -18.68|19.28| 34|999.999|999.999
2151|132.660745  12.049976|7022.514|6928.828|21.986|0.999|21.489|0.092|19.702|0.999| -15.29| 9.64|   5.30| 8.03| 57|999.999|999.999
2152|132.772160  12.050349|5374.914|6931.813|13.390|0.006|12.804|0.004|12.127|0.012|   5.35| 2.02|   9.40| 3.57|  0|999.999|999.999
2153|132.714396  12.050264|6229.154|6931.767|20.846|0.046|19.143|0.014|16.789|0.008|  29.10| 4.40| -34.27| 9.46|  0|999.999|999.999
2154|132.787761  12.050610|5144.185|6935.461|14.249|0.007|13.674|0.002|13.011|0.005|   0.54| 2.86|   5.06| 0.48| 91|999.999|999.999
2155|132.586438  12.050609|8121.132|6940.729|22.195|0.424|19.830|0.101|17.715|0.015|   1.01|14.34|  16.07|20.17|  3|999.999|999.999
2156|132.577876  12.050695|8247.711|6942.322|22.202|0.113|19.935|0.063|17.739|0.008| -14.16| 6.07|  27.31|10.95|  0|999.999|999.999
2157|132.778724  12.051296|5277.822|6946.008|21.244|0.999|21.224|0.457|18.904|0.999| -36.83| 6.66|   2.98|24.63| 12|999.999|999.999
2158|132.940931  12.051653|2878.899|6949.472|99.999|0.999|21.820|0.199|19.296|0.999| -11.07|19.75|  17.85|18.33| 45|999.999|999.999
2159|133.003988  12.051909|1946.395|6953.170|21.289|0.057|19.472|0.065|17.337|0.050|   1.37| 6.37|  -2.26| 5.12| 42|999.999|999.999
2160|132.756932  12.051754|5600.076|6953.344|21.708|0.065|21.617|0.040|20.191|0.999|  12.67| 0.95| -21.12|52.30| 20|999.999|999.999
2161|132.709294  12.051737|6304.564|6954.165|17.808|0.003|16.984|0.002|16.012|0.004|   6.25| 2.14|   7.62| 1.73|  0|999.999|999.999
2162|132.882010  12.052120|3750.272|6956.985|21.033|0.036|19.733|0.044|17.992|0.026|  19.34| 6.19|  -3.27| 0.59|  0|999.999|999.999
2163|132.742746  12.052155|5809.857|6959.707|20.059|0.081|19.489|0.030|18.787|0.024|   6.25| 5.06|   7.20| 2.44| 12|999.999|999.999
2164|133.067222  12.052860|1011.353|6967.728|20.003|0.054|18.369|0.017|16.629|0.007|   2.44| 3.27|   5.95| 3.03| 34|999.999|999.999
2165|133.059117  12.052874|1131.190|6967.893|20.014|0.053|18.969|0.006|17.796|0.015|  10.35| 3.51|  -0.12| 5.12|  3|999.999|999.999
2166|132.715209  12.052891|6217.067|6971.459|99.999|0.999|21.312|0.050|19.356|0.999|  27.01| 5.83|   0.00|15.35|  8|999.999|999.999
2167|132.902754  12.053782|3443.456|6981.916|19.869|0.023|18.283|0.014|16.555|0.004|  -0.89| 4.70|   0.77| 2.44| 77|999.999|999.999
2168|132.595095  12.053411|7993.053|6982.788|18.354|0.003|17.399|0.017|16.444|0.005|   3.33| 4.40|   6.84| 5.77| 13|999.999|999.999
2169|132.589555  12.053644|8074.952|6986.498|22.159|0.123|22.272|0.263|99.999|0.999|  54.92|25.76| -23.44|18.92|  1|999.999|999.999
2170|133.009083  12.054504|1871.022|6992.410|21.653|0.089|19.766|0.080|17.607|0.076|  -1.07| 2.44|  -1.90|10.71| 40|999.999|999.999
2171|132.661247  12.054157|7014.958|6992.014|24.079|1.427|20.987|0.241|18.587|0.999|   0.95| 3.99| -26.48|13.80|  8|999.999|999.999
2172|132.868316  12.054548|3952.763|6993.829|13.641|0.004|12.939|0.009|12.155|0.011|  -1.61| 1.61|  17.08| 2.56|  0|999.999|999.999
2173|132.914719  12.054890|3266.500|6998.565|18.762|0.032|17.950|0.015|17.088|0.005|   8.09| 3.03|  11.07| 3.57|  0|999.999|999.999
2174|132.922747  12.055118|3147.766|7001.956|22.238|0.116|20.974|0.138|19.396|0.112|  29.33|31.42|  12.20|11.48|  1|999.999|999.999
2175|132.789121  12.055074|5123.969|7002.929|22.974|0.675|21.191|0.322|20.245|0.628|  21.84|26.60|  34.15|26.42|  1|999.999|999.999
2176|132.579012  12.054736|8230.768|7003.373|21.149|0.298|19.833|0.093|18.631|0.059|  -2.86| 8.87|  11.60|11.48| 13|999.999|999.999
2177|133.036421  12.055417|1466.763|7006.263|22.633|0.999|21.153|0.249|18.825|0.999|  -1.61| 3.75| -29.51| 9.94|  9|999.999|999.999
2178|132.905623  12.055412|3401.005|7006.523|14.240|0.017|13.657|0.004|13.005|0.010|  -1.73| 1.19|   2.86| 1.78| 99|999.999|999.999
2179|132.747571  12.055353|5738.426|7007.950|15.938|0.011|15.065|0.001|14.116|0.003|   4.05| 2.56|   3.57| 2.92| 47|999.999|999.999
2180|132.913678  12.056208|3281.864|7018.498|22.671|0.999|21.311|0.165|19.633|0.999|   7.14| 3.39|   5.35|31.83| 43|999.999|999.999
2181|133.088950  12.056617| 690.079|7024.653|21.278|0.170|20.603|0.135|19.565|0.131|   3.99|23.68|  44.68|19.40|  0|999.999|999.999
2182|132.811322  12.056548|4795.607|7024.830|19.234|0.025|18.052|0.019|16.764|0.023|  13.74| 2.26|  -1.96| 3.51|  0|999.999|999.999
2183|132.546881  12.056189|8705.700|7026.501|99.999|0.999|18.476|0.012|99.999|0.999|   5.89| 7.08|  -0.77| 7.32| 27|999.999|999.999
2184|132.869673  12.057444|3932.629|7037.588|99.999|0.999|21.794|0.156|20.289|0.999|   3.09| 9.70|  -8.27|40.28| 38|999.999|999.999
2185|132.961581  12.057752|2573.432|7041.578|22.092|0.053|21.630|0.024|20.499|0.999|  46.17|41.05|  56.05|41.05|  0|999.999|999.999
2186|132.621942  12.057745|7595.990|7047.431|20.295|0.070|19.673|0.065|18.858|0.022|  23.44|10.59|  -4.76| 7.91|  0|999.999|999.999
2187|133.014416  12.058317|1792.122|7050.050|13.436|0.004|12.902|0.005|12.254|0.055|  -2.92| 1.96|   0.83| 2.92| 99|999.999|999.999
2188|132.794105  12.058241|5050.192|7050.715|21.501|0.016|21.632|0.210|20.793|0.999|  36.53| 5.95|  53.19|42.66|  0|999.999|999.999
2189|132.717371  12.058318|6184.948|7053.454|22.515|0.594|20.739|0.045|18.597|0.147|  -3.39|19.87|  -1.90|19.93| 52|999.999|999.999
2190|133.034571  12.058668|1494.085|7055.393|21.349|0.157|21.032|0.238|20.399|0.008|  16.12|14.58|  -5.12|13.57| 15|999.999|999.999
2191|132.727239  12.058492|6039.011|7055.847|22.266|0.143|20.371|0.080|16.847|0.062| -67.41|18.09| -15.23|13.69|  0|999.999|999.999
2192|132.719297  12.060287|6156.408|7083.175|16.137|0.008|15.311|0.006|14.432|0.004|   0.48| 0.48|   2.20| 2.98| 96|999.999|999.999
2193|133.003627  12.060765|1951.636|7087.061|22.451|0.751|20.034|0.138|17.730|0.182|  26.48| 5.47|   0.71|18.15|  0|999.999|999.999
2194|132.780069  12.060695|5257.704|7088.066|22.138|0.167|20.914|0.230|18.933|0.999|   0.48|30.11|  -3.81|13.45| 47|999.999|999.999
